Ratio,N_Valid,Mean,Std,Median,Min,Max
FIB4,5879,0.9127986860859346,0.7874498644811622,0.7706071779799778,0.02965243074387806,28.86751345948129
APRI,5899,0.23862324700039178,0.24291440141843426,0.18055555555555555,0.015105740181268883,6.844262295081967
DeRitis,5882,0.958938479285464,0.3536376150087437,0.8888888888888888,0.16666666666666666,3.3142857142857145
NFS,5788,-1.8033105815725947,1.845783063864724,-1.7333705882352946,-8.8845,4.6854
GGT_ALT,5882,1.3295404276336789,1.2130306887914197,1.0,0.06521739130434782,20.0625
BUN_Cr,5901,17.40442234941806,5.791594657772557,16.666666666666664,2.570093457943925,58.064516129032256
TG_HDL,2834,2.381914299784209,3.3042615149255807,1.6666666666666667,0.1282051282051282,92.55172413793103
TG_HDL_High,9254,0.051653339096606875,0.2213381251498546,0.0,0.0,1.0
TC_HDL,6738,3.590349509299831,1.2927872899287887,3.327272727272727,1.2682926829268293,28.0
LDL_HDL,2808,2.134507797328123,0.9625829360087005,2.0,0.24509803921568626,21.181818181818183
NonHDL,6738,126.50207776788365,40.572027644424416,121.0,22.0,408.0
TyG,2834,8.468185617164476,0.7073097789106668,8.43457201526805,6.194405391104672,12.308640515380077
HOMA_IR,2825,4.4853797181252055,8.82785284268616,2.6119259259259255,0.12096296296296295,178.81051851851853
HOMA_B,2821,121.4341156868091,233.4487161127756,86.39999999999999,3.0653465346534654,10015.2
QUICKI,2825,0.3322324364268486,0.04072903561054719,0.33064235867923186,0.20576774877536638,0.5916783611825752
G_I,2825,13.3676777069824,11.460446117793548,10.755148741418765,0.21026592455163884,141.86046511627907
McAuley,2822,1.8915898205104438,0.6102973551431319,1.826125174393026,0.4283235617310359,5.072021151848585
MetS_Waist,9254,0.3523881564728766,0.47773989479979473,0.0,0.0,1.0
MetS_TG,9254,0.05446293494704992,0.226941157731195,0.0,0.0,1.0
MetS_HDL,9254,0.20628917224983792,0.40466238383478714,0.0,0.0,1.0
MetS_BP,9254,0.21082775016209207,0.4079183632238186,0.0,0.0,1.0
MetS_Glucose,9254,0.1897557812837692,0.3921289849351797,0.0,0.0,1.0
MetS_Count,9254,1.0137237951156257,1.1745553885407283,1.0,0.0,5.0
WHtR,7589,0.5686732336944882,0.10724168251517953,0.5587375803623612,0.3533653846153846,1.0349127182044888
VAI,2695,3.893573588216819,4.968139058699144,2.7395605567661163,0.22957560346099873,131.57819586521862
