Ratio,Residual,N_Diseases_Tested,N_Significant,Pct_Significant,Mean_Effect_Size,Universal,Liver_p,Liver_r,Liver_sig,Kidney_p,Kidney_r,Kidney_sig,Cardiovascular_p,Cardiovascular_r,Cardiovascular_sig,Diabetes_p,Diabetes_r,Diabetes_sig,MetS_p,MetS_r,MetS_sig
eGFR,eGFR_Residual,5,5,100.0,0.381165278086137,True,8.19683956423286e-10,0.3133560907429309,True,1.0167624621541484e-126,0.47752313351342035,True,1.2204289054569274e-108,0.5767316175723913,True,3.078637392085755e-63,0.3727741107770789,True,6.6136174612685935e-18,0.1654414378248633,True
ACR,ACR_Residual,5,5,100.0,0.11601389626628351,True,2.553062740692497e-12,0.3575968284279132,True,2.3895539890178114e-180,-0.5141593107573323,True,8.05084746979973e-32,0.2999124360306653,True,4.7883727205620424e-12,0.14874044429250932,True,1.0142698682142533e-53,0.2879790833376621,True
FIB4,FIB4_Residual,5,4,80.0,-0.17884563621179866,True,8.646402261604142e-85,-0.9956792030949968,True,6.311622307380606e-06,0.09026333111573404,True,0.004882795024968982,0.07344738030713638,True,0.24036676531514856,0.026095170803637213,False,4.374637782698271e-06,-0.0883548601905042,True
DeRitis,DeRitis_Residual,5,4,80.0,-0.08824009761313353,True,8.776128341666062e-23,-0.5013594799449734,True,2.302794775825131e-10,0.12661705901968423,True,3.4215774057623354e-07,0.1329316081330869,True,0.013392128933409535,-0.054936989018122606,False,5.948482793453149e-14,-0.1444526862553428,True
NFS,NFS_Residual,5,4,80.0,-0.3452467436500288,True,1.9451227831114145e-36,-0.6432900129138122,True,0.1055087917415062,-0.032356450822406346,False,5.527924851601081e-06,-0.11856509710930441,True,1.5381274792916406e-84,-0.4330240845416564,True,2.4659595397766663e-148,-0.4989980728629646,True
G_I,G_I_Residual,5,4,80.0,0.09618551322149638,True,0.005847029309500645,0.18057100482017052,True,0.0011704568445635951,0.09567844476553267,True,0.007675756654606619,0.09893636639441294,True,0.13736291927975505,-0.046269704111023824,False,9.444709125969391e-11,0.15201145423838958,True
MetS_Count,MetS_Count_Residual,5,4,80.0,-0.2996215739623382,True,9.029109199581263e-10,-0.3100579351949666,True,0.0026704050309119265,-0.05194196615565039,True,0.15230874718794632,0.0338363099135599,False,3.8340047834570103e-23,-0.20140019792742736,True,0.0,-0.9685440804472065,True
QUICKI,QUICKI_Residual,5,4,80.0,0.24300214778300458,True,1.0168363898389649e-05,0.28914534668149794,True,5.721446239017859e-07,0.14739074140098707,True,0.05007514996591102,0.07271137338417522,False,4.2072089000349346e-32,0.3672919612463996,True,3.94858264948961e-47,0.338471316201963,True
LDL_HDL,LDL_HDL_Residual,5,4,80.0,0.05561959058206321,True,0.27565385711000934,0.07186530625734777,False,6.884259743613862e-05,0.11811733365484256,True,1.6393621992116264e-06,0.17884070026846144,True,2.665040896727735e-07,0.16168349417080385,True,1.5275011115219772e-26,-0.2524088814411396,True
WHtR,WHtR_Residual,5,3,60.0,-0.16679467656000388,True,0.09931970820281776,-0.08450859363634478,False,0.19886645417419235,0.023523888673054105,False,0.0015862360548376938,-0.08199105884308344,True,4.008725787916395e-29,-0.2453203053759283,True,6.65583053027108e-126,-0.445677313617717,True
APRI,APRI_Residual,5,3,60.0,-0.17369052744249258,True,3.093419634622964e-77,-0.9491981774069471,True,0.006911460998148113,0.05390997966709343,True,0.02853124698003463,0.0570875276334144,False,0.011389530102381194,0.05622918292502532,False,6.6447626590078245e-06,-0.08648115003104895,True
TC_HDL,TC_HDL_Residual,5,3,60.0,-0.002654913013882987,True,0.4209827429768098,0.04100327153762273,False,0.08459477281655035,0.03263383962532662,False,2.70579515877018e-10,0.16342464949489632,True,0.002502050686132993,0.0662352856489925,True,3.927950681275128e-63,-0.3165716113762531,True
TG_HDL,TG_HDL_Residual,5,2,40.0,-0.11406184952291268,False,0.39005877249028664,0.05631005173688097,False,0.26316956185265017,-0.03294287780187988,False,0.9780466218335383,0.0010224888267162946,False,1.975953660066217e-06,-0.14807255667968877,True,7.064903036304117e-81,-0.446626353696592,True
HOMA_IR,HOMA_IR_Residual,5,2,40.0,-0.09206667120943121,False,0.01672954304316749,-0.15674823878383393,False,0.12762486335978745,-0.04490814584076119,False,0.043417122435035746,0.07495107166439618,False,2.207424714190106e-13,-0.2284535218643624,True,7.451948542609335e-06,-0.10517452122259474,True
TyG,TyG_Residual,5,2,40.0,-0.20388199651354064,False,0.15615198008337405,-0.09290465631929057,False,0.020495458488762903,-0.06821915891120289,False,0.4947100959986387,-0.02533697675245694,False,1.9284928775527233e-30,-0.35702569367925463,True,1.4072532533492722e-91,-0.4759234969054982,True
VAI,VAI_Residual,5,2,40.0,-0.11755695526586776,False,0.46662144818685036,0.048010296907056826,False,0.13612788581753515,-0.04518747647338017,False,0.9024094528079045,0.004694805067781194,False,2.6919664661365e-06,-0.1495071688635521,True,6.898358914900674e-79,-0.44579523296724455,True
BUN_Cr,BUN_Cr_Residual,5,1,20.0,-0.05482765980771516,False,0.07319238248687476,-0.0914215574239936,False,0.9328149479613572,-0.0016814218898624222,False,0.8874983081523119,0.0036851327313348614,False,8.919963328231482e-10,-0.13608096834423766,True,0.011258648385489945,-0.048639484111816955,False
